timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,2382781,1,Mason Farm Rd at Baity Hill Dr,B/Baity Hill - UNC Hospitals - Fetzer Gym
1,778651,2,East Dr at Jackson Cir,"B/Baity Hill - UNC Hospitals - Fetzer Gym, CL/Colony Lake - Sage Rd - UNC Hospitals, D/Culbreth Road - Franklin Street - Eastowne, G/Booker Creek-University Place-UNC Hospitals , HU/UNC Hospitals-Botanical Garden-54 Park-&-Ride-Hedrick Building, N/Estes Park-UNC Hospitals-Family Medicine, NS/Eubanks Road-Southern Village, T/MLK Jr Boulevard-UNC Hospitals, V - Saturday/Southern Village - Meadowmont, V/Southern Village-Meadowmont"
1,778653,3,Manning Dr at UNC Hospitals,"A/MLK Jr Blvd - Northside, B/Baity Hill - UNC Hospitals - Fetzer Gym, CCX/Chatham County Express, CL/Colony Lake - Sage Rd - UNC Hospitals, CM/Carrboro-Merritt Mill Road-Family Medicine, D/Culbreth Road - Franklin Street - Eastowne, FCX/Friday Center Express, G/Booker Creek-University Place-UNC Hospitals , HU/UNC Hospitals-Botanical Garden-54 Park-&-Ride-Hedrick Building, N/Estes Park-UNC Hospitals-Family Medicine, NS/Eubanks Road-Southern Village, NU/RR Lot-UNC Hospitals, S/South Campus-NC 54 Park-&-Ride, T/MLK Jr Boulevard-UNC Hospitals, U/UNC Campus Shuttle-Downtown, V - Saturday/Southern Village - Meadowmont, V/Southern Village-Meadowmont"
1,778638,4,S Columbia St at Health Sciences Library,"A/MLK Jr Blvd - Northside, B/Baity Hill - UNC Hospitals - Fetzer Gym, CCX/Chatham County Express, CL/Colony Lake - Sage Rd - UNC Hospitals, CM/Carrboro-Merritt Mill Road-Family Medicine, CPX/Carrboro Plaza Express, CW/Carrboro - Weaver Street, D/Culbreth Road - Franklin Street - Eastowne, FCX/Friday Center Express, G/Booker Creek-University Place-UNC Hospitals , J/Carrboro-Downtown Chapel Hill-Jones Ferry Road, JFX/Jones Ferry Road Express, JN - Saturday/Estes Park-UNC Hospitals-Jones Ferry Road, N/Estes Park-UNC Hospitals-Family Medicine, NS/Eubanks Road-Southern Village, NU/RR Lot-UNC Hospitals, S/South Campus-NC 54 Park-&-Ride, T/MLK Jr Boulevard-UNC Hospitals, U/UNC Campus Shuttle-Downtown, V - Saturday/Southern Village - Meadowmont, V/Southern Village-Meadowmont"
1,778637,5,S Columbia St at Carrington Hall,"A/MLK Jr Blvd - Northside, B/Baity Hill - UNC Hospitals - Fetzer Gym, CCX/Chatham County Express, CL/Colony Lake - Sage Rd - UNC Hospitals, CM/Carrboro-Merritt Mill Road-Family Medicine, CPX/Carrboro Plaza Express, CW/Carrboro - Weaver Street, D/Culbreth Road - Franklin Street - Eastowne, FCX/Friday Center Express, G/Booker Creek-University Place-UNC Hospitals , J/Carrboro-Downtown Chapel Hill-Jones Ferry Road, JFX/Jones Ferry Road Express, JN - Saturday/Estes Park-UNC Hospitals-Jones Ferry Road, N/Estes Park-UNC Hospitals-Family Medicine, NS/Eubanks Road-Southern Village, NU/RR Lot-UNC Hospitals, S/South Campus-NC 54 Park-&-Ride, T/MLK Jr Boulevard-UNC Hospitals, U/UNC Campus Shuttle-Downtown, V - Saturday/Southern Village - Meadowmont, V/Southern Village-Meadowmont"
1,778630,6,South Rd at Coker Hall,"B/Baity Hill - UNC Hospitals - Fetzer Gym, CCX/Chatham County Express, FCX/Friday Center Express, G/Booker Creek-University Place-UNC Hospitals , Safe Ride G/Franklin Street-Finley Forest-Meadowmont, S/South Campus-NC 54 Park-&-Ride, V/Southern Village-Meadowmont"
1,778750,7,South Rd at Fetzer Gym,"A/MLK Jr Blvd - Northside, B/Baity Hill - UNC Hospitals - Fetzer Gym, CCX/Chatham County Express, FCX/Friday Center Express, G/Booker Creek-University Place-UNC Hospitals , Safe Ride G/Franklin Street-Finley Forest-Meadowmont, S/South Campus-NC 54 Park-&-Ride, V/Southern Village-Meadowmont"
1,778785,8,South Rd at Woollen Gym,"B/Baity Hill - UNC Hospitals - Fetzer Gym, FCX/Friday Center Express, FG - Saturday/Franklin St-University Place-Colony Woods, G/Booker Creek-University Place-UNC Hospitals , Safe Ride G/Franklin Street-Finley Forest-Meadowmont, S/South Campus-NC 54 Park-&-Ride, V - Saturday/Southern Village - Meadowmont, V/Southern Village-Meadowmont"
1,778816,9,South Rd at Country Club Rd (EB),"B/Baity Hill - UNC Hospitals - Fetzer Gym, CCX/Chatham County Express, FCX/Friday Center Express, FG - Saturday/Franklin St-University Place-Colony Woods, G/Booker Creek-University Place-UNC Hospitals , Safe Ride G/Franklin Street-Finley Forest-Meadowmont, S/South Campus-NC 54 Park-&-Ride, V - Saturday/Southern Village - Meadowmont, V/Southern Village-Meadowmont"
1,778772,10,Raleigh Rd at St Thomas More (EB),"B/Baity Hill - UNC Hospitals - Fetzer Gym, FG - Saturday/Franklin St-University Place-Colony Woods, G/Booker Creek-University Place-UNC Hospitals , Safe Ride G/Franklin Street-Finley Forest-Meadowmont, S/South Campus-NC 54 Park-&-Ride, V - Saturday/Southern Village - Meadowmont, V/Southern Village-Meadowmont"
