timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
1,6821,0,20140101,20221231,1,1,1,1,1,0,0,Baity Hill - UNC Hospitals - Fetzer Gym,Year-round calendar (Monday-Friday),Loop,horizontal
2,1735,0,20140101,20221231,1,1,1,1,1,0,0,Booker Creek-University Place-UNC Hospitals ,Year-round calendar (Monday-Friday),Northbound,horizontal
3,1735,1,20140101,20221231,1,1,1,1,1,0,0,Booker Creek-University Place-UNC Hospitals ,Year-round calendar (Monday-Friday),Southbound,horizontal
4,1745,0,20140101,20221231,1,1,1,1,1,0,0,Campus Reverse Shuttle-Law School,Year-round calendar (Monday-Friday),Loop,horizontal
5,1738,0,20170720,20180331,1,1,1,1,1,0,0,Carrboro-Downtown Chapel Hill-Jones Ferry Road,J Detour - 6/3/17 (Monday-Friday),Loop,horizontal
6,1738,0,20180401,20181201,1,1,1,1,1,0,0,Carrboro-Downtown Chapel Hill-Jones Ferry Road,J Resume - 8/5/17 (Monday-Friday),Loop,horizontal
7,1726,0,20140101,20221231,0,0,0,0,0,1,0,Carrboro-Merritt Mill Road-Family Medicine,Year-round calendar (Saturday only),Eastbound,horizontal
8,1726,0,20140101,20221231,1,1,1,1,1,0,0,Carrboro-Merritt Mill Road-Family Medicine,Year-round calendar (Monday-Friday),Eastbound,horizontal
9,1726,1,20140101,20221231,0,0,0,0,0,1,0,Carrboro-Merritt Mill Road-Family Medicine,Year-round calendar (Saturday only),Westbound,horizontal
10,1726,1,20140101,20221231,1,1,1,1,1,0,0,Carrboro-Merritt Mill Road-Family Medicine,Year-round calendar (Monday-Friday),Westbound,horizontal
11,1727,0,20171128,20211231,1,1,1,1,1,0,0,Carrboro Plaza Express,CHT EXPRESS (Monday-Friday),Eastbound,horizontal
12,1727,1,20171128,20211231,1,1,1,1,1,0,0,Carrboro Plaza Express,CHT EXPRESS (Monday-Friday),Westbound,horizontal
13,1728,0,20140101,20221231,0,0,0,0,0,1,0,Carrboro - Weaver Street,Year-round calendar (Saturday only),Eastbound,horizontal
14,1728,0,20140101,20221231,1,1,1,1,1,0,0,Carrboro - Weaver Street,Year-round calendar (Monday-Friday),Eastbound,horizontal
15,1728,1,20140101,20221231,0,0,0,0,0,1,0,Carrboro - Weaver Street,Year-round calendar (Saturday only),Westbound,horizontal
16,1728,1,20140101,20221231,1,1,1,1,1,0,0,Carrboro - Weaver Street,Year-round calendar (Monday-Friday),Westbound,horizontal
17,1724,0,20171128,20211231,1,1,1,1,1,0,0,Chatham County Express,CHT EXPRESS (Monday-Friday),Loop,horizontal
18,1724,0,20171128,20211231,1,1,1,1,1,0,0,Chatham County Express,CHT EXPRESS (Monday-Friday),Northbound,horizontal
19,1725,0,20140101,20221231,1,1,1,1,1,0,0,Colony Lake - Sage Rd - UNC Hospitals,Year-round calendar (Monday-Friday),Northbound,horizontal
